,5/4/23 23:30,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imperial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xxx
,Unique painted pieces Including Paint Variants,278,unp,-g,-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,,x,x,x,x,,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,CP,CQ,Metric,CS,CT,CU,CV,CW,CX,CY,CZ,DA,DB,DC,DD,DE,,DG,DH,DI,DJ,DK,DL,DM,DN,DO,DP,DQ,DR,DS,DT,DU,DV,DW,DX,DY,DZ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,EK,EL,EM,EN,EO,EP,EQ,ER,ES,ET,EU,EV,EW,EX,EY,EZ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,FK,FL,FM,FN,FO,FP,FQ,FR,FS,FT,FU,,FW,FX,FY,FZ,,GB,GC,GD,GE,GF,GG,GH,GI,GJ,GK,GL,GM,GN,GO,GP,GQ,GR,GS,GT,GU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unique Pieces,278,262,13,13,1,1,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sets and Pieces,,,,,,, ,Pledge Levels,,Build Your Own Pledge,,Starter Bundles,CBB - Wood Starter,CBB - Wood Starter Mega,,,Landmark Bundles,Double LM Disc. (pick 2 LM),Triple LM Disc. (Pick 3 LM),Quad LM Disc. (Pick 4 LM),,City Barracks,Harbormaster's Hut,Humble Homesteads,Midtown Merchants,Riverside Mill,Speakeasy Murderbar,Thieves' Guild,Wharf Warehouse,Wizard's Townhouse,Ye Olde Time Inn,,District Bundles,Double Dist. Disc. (pick 2 Dist),Triple Dist. Disc.t (pick 3 Dist),Quad Dist. Disc. (pick 4 Dist),,Ambush Alley,Downtown Dockside,Elven Trading Post,Frontier Outpost,Inn to the Pit,Lumberbaron's Lodge,Market Square,Warfield Village,Wharfwatch,,Compl. A: Building Blocks,Compl. B: Dress & Build Syst.,Compl. C: Essentials,Compl. D: All Modular Roofs,,Building Features,RW - Balcony & Bay Window,RW - Diagonal Walls,RW - Freestanding Walls,RW - Dangle Room Pack,RW - Mezzanine Pack,RW - The Floortal,RW - The Poet's Nook - Dark,RW - The Poet's Nook - Green,RW - Tower Extensions,RW - Wooden Stairs Pack,,Lowtown Tote,Lowtown Tote (extra),,Dressing & Decor,Curtains & Rugs Dressing,Elven Facades Pack,Grand Library Dressing,Ivy Facades Pack,LED  Lamppost,LT Basic Dressing,LT Biscuit Hole Fillers,LT Cottage Dressing,LT Kitchen Dressing,LT Manorhouse Dressing,LT Market Dressing,LT Narrow Window Dressing,LT Street Dressing,LT Tavern Dressing,LT Window Dressing,Wooden Corner Post Fillers,Wooden Facades Pack,,Exterior Building,25mm Cobblestone Risers,Cobblestone/Dirt Diag. Backfills,Cobblestone Ground Cover,Packed Dirt Ground Cover,Seawalls Set,Urban Elevation - Arches,Urban Elevation - Half Arches,Urban Elevation - Ramps,,Fieldstone Expansion,FS - Double High Walls & Posts,FS - Grand Promenade Floor,FS - Narrow Walls & Posts,FS - Wall Spacers,FS - 4x4 Floors Remastered,FS - Cathedral Walls & Posts,FS - Fortified Walls & Posts,FS - Grand Walls & Posts,FS - Standard Walls & Posts,,Miniatures,Townsfolk,,Modular Roof System,LED Dormer Windows - Dark,LED Dormer Windows - Green,Diagonal Roof - Dark,Diagonal Roof - Green,Grand Promenade Roof - Dark,Grand Promenade Roof - Green,Right Angle Junction - Dark,Right Angle Junction - Green,Rustic Rake Soffits - Dark,Rustic Rake Soffits - Green,Rustic Steeple - Dark,Rustic Steeple - Green,Short Peak & Soffit - Dark,Short Peak & Soffit - Green,Straight Roof - Dark,Straight Roof - Green,Standard Roof - Dark,Standard Roof - Green,Roof Ridges,Wizard Hat Roof - Dark,Wizard Hat Roof - Green,Mega Bundle - Dark Roofs,Mega Bundle - Green Roofs,,Scaffolding System,Balcony Builder,Dock Builder,Rope Bridge Builder,Widow's Walk Builder,,SFX / Showpieces,DF Light Panel Drive Pack,DF Liht Panel Exp. Pack,DF Floor Fogger,Phantasmal Filters,Thatched Roof,The Light Puck,Waterwheel,,Terrain Trays & Battle Boards,LT Water Current Overlays,BB - Lowtown Cobblestone,TT - Cobblestone/Packed Dirt,TT - Concave Breakers/Shoreline,TT - RW Floor/Neutral Stone,TT - Slum Cobblestone/Dirt,TT - Straight/Convex Shoreline,TT - Straight/Convex Breakers,,Wooden Floors,RW - 4x4 Floors,RW - Grand Promenade Floor,RW - Grand Prom. Parquet Floor,RW - 4x4 Parquet Floors,,Wooden Walls & Posts,RW - Standard Walls & Posts,RW - Tavern Walls & Posts,RW - Double High Walls & Posts,RW - Narrow Walls & Posts,RW - Wall Spacers,RW - Dockside Walls & Posts,RW -  Fortified Walls & Posts,RW - Manorhouse Walls & Posts,,Paint Bundles,Lowtown Wood Paint Bundle,Lowtown Fieldstone Paint Bundle,Lowtown Scaffolding Paint Bundle,,Stretch Goal Treasure Chests,Milestone Stretch Goals,U - Wood Core - Small,U - Wood Character - Small,U - Fieldstone Core - Small,U - Lowtown Dressing - Small,U - Wood Core - Large,U - Wood Character - Large,U - Lowtown Dressing - Large,U - Biscuit Hole Fillers - Small,U - Cosmetic Cornerposts - Small,P - Wood Core - Small,P - Wood Character - Small,P - Fieldstone Core - Small,P - Lowtown Dressing - Small,P - Wood Core - Large,P - Wood Character - Large,P - Lowtown Dressing - Large,P - Biscuit Hole Fillers - Small,P - Cosmetic Cornerposts - Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,SKU,LED,Mag,,Surf Area,Roof Surface,,,,8-B000,,,8-B101,8-B102,,,,8-B201,8-B301,8-B302?,,8-B113,8-B109,8-B112,8-B110,8-B131,8-B105,8-B108,8-B107,8-B111,8-B106,,,8-B202,8-B203,8-B204,,8-B116,8-B115,8-B121,8-B118,B-B122,8-B119,8-B117,8-B120,8-B123,,8-B125,8-B126,8-B127,8-B128,,,8-A115,8-A113,8-A118,8-A116,8-A114,8-A117,8-A183,8-A179,8-A193,8-A119,,,,,,8-A191,8-A122,8-A192,8-A121,8-A130,8-A165,8-A120,8-A127,8-A125,8-A128,8-A129,8-A187,8-A123,8-A124,8-A126,8-A195,8-A170,,,8-A151,8-A149,8-A147,8-A148,8-A150,8-A152,8-A194,8-A184,,,8-A162,8-A197,8-A198,8-A201,8-A156,8-A188,8-A160,8-A161,8-A158,,,8-A155,,,8-A141,8-A142,8-A137,8-A138,8-A180,8-A181,8-A166,8-A167,8-A139,8-A140,8-A163,8-A164,8-A168,8-A169,8-A185,8-A186,8-A135,8-A136,8-A145,8-A143,8-A144,8-B129,8-B130,,,8-A132,8-A131,8-A134,8-A133,,,6.6-T134,6.6-T137,7-A131,8-A196,8-A146,7-A152,8-A154,,,8-A???,8-A177,8-A174,8-A172,8-A176,8-A175,8-A173,8-A171,,,8-A102,8-A103,8-A105,8-A104,,,8-A106,8-A109,8-A112,8-A107,8-A199,8-A108,8-A111,8-A110,,,8-D101-Z,8-D102-Z,8-D103-Z,,,8-C201-Z,8-C101,8-C102,8-C103,8-C104,8-C105,8-C106,8-C108,8-C109,8-C110,8-C101,8-C102,8-C103,8-C104,8-C105,8-C106,8-C108,8-C109,8-C110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Painted Set Price,,,,,,,,,,10,,,158,259,,,,-50,-80,-110,,590,590,590,590,590,590,590,590,590,590,,,-180,-370,-560,,2390,2390,2390,2390,2390,2390,2390,2390,2390,,2390,2390,2390,2390,,,49,80,94,69,80,55,57,57,69,56,,,10,,,36,54,57,33,42,30,53,34,47,70,89,46,62,72,51,36,66,,,32,40,46,46,78,56,53,42,,,118,36,99,61,33,92,108,124,86,,,52,,,49,49,50,50,61,61,57,57,35,35,77,77,45,45,102,102,109,109,49,55,55,1221,1221,,,120,115,35,128,,,61,79,39,20,40,105,53,,,28,38,21,21,21,21,21,21,,,33,37,39,35,,,87,128,110,96,61,116,133,138,,,55,22,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unpainted Set Price,,,,,,,,,,10,,,99,158,,,,-30,-45,-60,,372,363,382,389,372,357,359,351,405,362,,,-125,-250,-340,,1583,1567,1534,1520,1494,1547,1638,1543,1561,,1434,1563,1456,1705,,,33,52,62,46,46,37,41,41,41,40,,,10,,,22,30,33,19,35,15,25,27,30,42,66,27,34,39,27,21,46,,,21,21,30,30,48,35,33,26,,,68,21,60,31,20,47,57,77,44,,,22,,,41,41,37,37,45,45,43,43,19,19,48,48,28,28,80,80,81,81,24,40,40,871,871,,,78,69,19,80,,,61,79,39,20,31,105,29,,,28,38,21,21,21,21,21,21,,,20,21,21,20,,,50,77,66,53,31,58,82,89,,,55,22,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Pieces,,,,,,,,,0,0,0,0,52,90,0,0,0,0,0,0,0,188,205,166,186,187,196,200,180,214,180,,0,0,0,0,0,780,810,785,806,780,760,752,788,746,0,893,655,804,846,0,0,22,25,20,23,26,12,25,25,20,9,,,1,,0,14,20,4,22,4,6,20,4,5,19,23,32,12,17,36,12,38,,,8,6,7,7,10,16,16,16,,0,23,14,46,22,12,22,26,26,21,,0,8,,0,16,16,21,21,21,21,22,22,22,22,34,34,26,26,24,24,27,27,10,12,12,423,423,0,0,52,54,9,48,,,6,13,1,10,2,1,9,0,0,14,1,1,1,1,1,1,1,0,0,12,14,14,12,0,0,33,38,23,46,22,49,52,41,0,0,5,2,4,0,0,4,26,39,24,18,96,80,38,40,20,18,33,17,10,74,68,20,16,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
